DT,SOLAR_FORECAST,SOLAR_ACTUAL,SOLAR_MIN,SOLAR_MAX,WIND_FORECAST,WIND_ACTUAL,WIND_MIN,WIND_MAX,SOLAR_AE,SOLAR_APE_%,SOLAR_IN_RANGE,WIND_AE,WIND_APE_%,WIND_IN_RANGE,TOTAL_SUPPLY_MW,ROLLING_STD_24H
2025-08-01 00:00:00,0.0,0.0,0.0,0.0,2333.23,326.0,1816.05,2854.48,0.0,,1.0,2007.23,615.7147239263803,0.0,10537.550991735476,
2025-08-01 01:00:00,0.0,0.0,0.0,0.0,2272.18,326.0,1807.75,2853.07,0.0,,1.0,1946.1799999999998,596.9877300613496,0.0,10446.234318401308,
2025-08-01 02:00:00,0.0,0.0,0.0,0.0,2131.64,326.0,1676.14,2791.74,0.0,,1.0,1805.6399999999999,553.8773006134969,0.0,10405.075101975335,
2025-08-01 03:00:00,0.0,0.0,0.0,0.0,1977.93,326.0,1452.42,2397.23,0.0,,1.0,1651.93,506.72699386503075,0.0,10330.069489486888,
2025-08-01 04:00:00,0.0,0.0,0.0,0.0,1769.08,326.0,1337.29,2185.02,0.0,,1.0,1443.08,442.66257668711654,0.0,10382.600833072729,
2025-08-01 05:00:00,2.34,0.0,1.31,5.06,1618.99,326.0,1243.44,2024.22,2.34,,0.0,1292.99,396.62269938650303,0.0,10506.076961003058,
2025-08-01 06:00:00,141.77,0.0,117.24,174.01,1491.62,326.0,1042.83,1794.31,141.77,,0.0,1165.62,357.5521472392638,0.0,10577.114396814513,
2025-08-01 07:00:00,575.29,0.0,530.92,651.3,1107.22,326.0,612.47,1408.45,575.29,,0.0,781.22,239.63803680981596,0.0,10792.63261017633,
2025-08-01 08:00:00,1111.57,0.0,1042.58,1189.81,627.15,326.0,283.67,918.56,1111.57,,0.0,301.15,92.37730061349693,1.0,11018.136786898192,
2025-08-01 09:00:00,1356.2,0.0,1297.57,1435.23,347.27,326.0,210.99,549.36,1356.2,,0.0,21.269999999999982,6.524539877300609,1.0,11170.315664810349,
2025-08-01 10:00:00,1479.15,0.0,1430.06,1530.79,299.55,326.0,193.04,445.82,1479.15,,0.0,26.44999999999999,8.113496932515334,1.0,11378.212692022485,
2025-08-01 11:00:00,1521.53,0.0,1477.15,1562.83,375.33,326.0,253.57,548.96,1521.53,,0.0,49.329999999999984,15.131901840490794,1.0,11619.710360957935,
2025-08-01 12:00:00,1500.72,0.0,1471.57,1557.84,522.1,326.0,321.94,1038.5,1500.72,,0.0,196.10000000000002,60.153374233128844,1.0,11745.972622303023,
2025-08-01 13:00:00,1454.34,0.0,1379.67,1546.59,573.17,326.0,339.53,1221.15,1454.34,,0.0,247.16999999999996,75.81901840490796,0.0,11504.330720744265,
2025-08-01 14:00:00,1421.22,0.0,1343.59,1546.75,620.43,326.0,355.09,1088.48,1421.22,,0.0,294.42999999999995,90.31595092024538,0.0,11293.339445339338,
2025-08-01 15:00:00,1378.94,0.0,1254.67,1523.52,712.19,326.0,384.43,1260.39,1378.94,,0.0,386.19000000000005,118.4631901840491,0.0,11205.223228728353,
2025-08-01 16:00:00,1278.06,0.0,1125.76,1465.23,816.76,326.0,417.81,1554.5,1278.06,,0.0,490.76,150.53987730061348,0.0,11195.206287770354,
2025-08-01 17:00:00,1084.11,0.0,915.9,1266.49,692.56,326.0,451.41,988.23,1084.11,,0.0,366.55999999999995,112.44171779141104,0.0,10911.008091537005,
2025-08-01 19:00:00,422.66,0.0,322.1,467.64,689.15,326.0,545.36,1459.37,422.66,,0.0,363.15,111.39570552147238,0.0,10481.558001090905,
2025-08-01 20:00:00,94.59,0.0,69.42,103.68,827.18,326.0,673.28,1838.41,94.59,,0.0,501.17999999999995,153.73619631901838,0.0,10567.961491813117,
2025-08-01 21:00:00,0.83,0.0,0.59,1.16,1034.57,326.0,839.53,2095.2,0.83,,0.0,708.5699999999999,217.3527607361963,0.0,10494.317405195174,
2025-08-01 22:00:00,0.0,0.0,0.0,0.0,1151.45,326.0,859.22,1878.63,0.0,,1.0,825.45,253.20552147239263,0.0,10415.645353238082,435.5048778146628
2025-08-01 23:00:00,0.0,0.0,0.0,0.0,1143.14,326.0,911.53,1517.51,0.0,,1.0,817.1400000000001,250.65644171779144,0.0,10290.03874626382,450.64243374259615
2025-08-02 00:00:00,0.0,0.0,0.0,0.0,1023.43,326.0,980.15,1448.42,0.0,,1.0,697.43,213.93558282208588,0.0,10365.57741336911,456.884611295296
2025-08-02 01:00:00,0.0,0.0,0.0,0.0,864.96,326.0,532.56,1865.7,0.0,,1.0,538.96,165.32515337423314,0.0,10304.58115124436,462.89016244999607
2025-08-02 02:00:00,0.0,0.0,0.0,0.0,763.37,326.0,379.38,1531.09,0.0,,1.0,437.37,134.16257668711657,0.0,9630.220556317949,517.012143044164
2025-08-02 03:00:00,0.0,0.0,0.0,0.0,665.8,326.0,421.81,1179.27,0.0,,1.0,339.79999999999995,104.23312883435581,0.0,9539.619205524805,569.9589899785747
2025-08-02 04:00:00,0.0,0.0,0.0,0.0,643.99,326.0,388.12,1087.39,0.0,,1.0,317.99,97.54294478527608,0.0,9645.022685843585,609.4660774591179
2025-08-02 05:00:00,1.47,0.0,0.43,3.43,682.42,326.0,341.78,1124.27,1.47,,0.0,356.41999999999996,109.33128834355827,0.0,9761.325105842692,639.322801550088
2025-08-02 06:00:00,113.65,0.0,49.62,160.76,651.19,326.0,288.64,1159.47,113.65,,0.0,325.19000000000005,99.7515337423313,1.0,10106.144764299537,650.1993562590565
2025-08-02 07:00:00,478.36,0.0,259.4,632.13,602.51,326.0,261.6,1083.97,478.36,,0.0,276.51,84.81901840490798,1.0,10197.329298902834,656.8098725108852
2025-08-02 08:00:00,897.78,0.0,512.13,1161.19,377.86,326.0,181.55,801.18,897.78,,0.0,51.860000000000014,15.907975460122703,1.0,10398.738403670795,653.8569995286772
2025-08-02 09:00:00,1035.76,0.0,783.98,1438.95,254.96,326.0,91.86,534.87,1035.76,,0.0,71.03999999999999,21.791411042944784,1.0,10527.66956180043,643.575682684771
2025-08-02 10:00:00,1073.41,0.0,873.07,1530.96,261.89,326.0,92.03,558.21,1073.41,,0.0,64.11000000000001,19.665644171779146,1.0,10850.556979583025,624.4529397801083
2025-08-02 11:00:00,989.39,0.0,591.3,1572.99,282.09,326.0,96.05,578.77,989.39,,0.0,43.910000000000025,13.469325153374239,1.0,11131.500285936841,596.2532333102366
2025-08-02 12:00:00,987.52,0.0,647.83,1472.29,324.62,326.0,131.97,680.36,987.52,,0.0,1.3799999999999955,0.42331288343558143,1.0,11222.69375024933,559.2096391623094
2025-08-02 13:00:00,947.85,0.0,585.96,1336.12,386.43,326.0,75.95,922.17,947.85,,0.0,60.43000000000001,18.53680981595092,1.0,11169.327414821126,537.6702205143763
2025-08-02 14:00:00,906.14,0.0,539.59,1334.62,414.53,326.0,99.41,911.93,906.14,,0.0,88.52999999999997,27.156441717791402,1.0,11027.190607570486,523.5604290818761
2025-08-02 15:00:00,860.98,0.0,526.08,1241.38,417.19,326.0,187.11,871.67,860.98,,0.0,91.19,27.97239263803681,1.0,10983.765125412974,512.5690740771339
2025-08-02 16:00:00,752.15,0.0,438.64,1181.2,548.09,326.0,194.94,1029.09,752.15,,0.0,222.09000000000003,68.12576687116565,1.0,10794.440262596587,495.1155360118242
2025-08-02 17:00:00,576.77,0.0,355.62,1092.82,620.13,326.0,217.9,1190.66,576.77,,0.0,294.13,90.22392638036808,1.0,10793.8518516274,491.2623407184709
2025-08-02 19:00:00,188.16,0.0,142.41,404.4,783.94,326.0,501.58,1261.36,188.16,,0.0,457.94000000000005,140.47239263803684,0.0,10426.875450726968,489.6075100501387
2025-08-02 20:00:00,38.2,0.0,24.93,79.67,972.93,326.0,608.33,1907.93,38.2,,0.0,646.93,198.44478527607362,0.0,10472.92381625637,489.1738116811644
2025-08-02 21:00:00,0.33,0.0,0.21,0.48,1142.11,326.0,713.46,1921.93,0.33,,0.0,816.1099999999999,250.34049079754598,0.0,10396.725119586761,489.3432941723428
2025-08-02 22:00:00,0.0,0.0,0.0,0.0,1201.8,326.0,789.78,1700.37,0.0,,1.0,875.8,268.6503067484662,0.0,10371.853295236966,489.60924012211456
2025-08-02 23:00:00,0.0,0.0,0.0,0.0,1191.17,326.0,806.16,2146.47,0.0,,1.0,865.1700000000001,265.3895705521473,0.0,10417.686200851616,488.3607312999009
2025-08-03 00:00:00,0.0,0.0,0.0,0.0,1114.91,326.0,517.65,1927.06,0.0,,1.0,788.9100000000001,241.99693251533745,0.0,10041.110953190964,495.7125906187409
2025-08-03 01:00:00,0.0,0.0,0.0,0.0,1057.86,326.0,488.8,1749.47,0.0,,1.0,731.8599999999999,224.4969325153374,0.0,9895.757534393026,507.90890036840807
2025-08-03 02:00:00,0.0,0.0,0.0,0.0,1027.69,326.0,547.47,1657.35,0.0,,1.0,701.69,215.2423312883436,0.0,9698.180484590439,503.39076598296515
2025-08-03 03:00:00,0.0,0.0,0.0,0.0,1028.95,326.0,508.37,1637.47,0.0,,1.0,702.95,215.62883435582822,0.0,9651.632040534752,495.1431964646496
2025-08-03 04:00:00,0.0,0.0,0.0,0.0,1052.42,326.0,470.02,1608.19,0.0,,1.0,726.4200000000001,222.82822085889572,0.0,9763.604088473841,487.3597825656829
2025-08-03 05:00:00,0.27,0.0,0.21,0.53,909.08,326.0,568.99,1161.1,0.27,,0.0,583.08,178.8588957055215,0.0,9818.09008185424,484.0065159119573
2025-08-03 06:00:00,32.88,0.0,23.66,43.09,915.48,326.0,626.24,1129.26,32.88,,0.0,589.48,180.82208588957056,0.0,9821.889959244674,496.1325687253199
2025-08-03 07:00:00,173.73,0.0,141.21,289.03,838.72,326.0,618.04,1899.6,173.73,,0.0,512.72,157.27607361963192,0.0,9690.543725256357,517.2000091171577
2025-08-03 08:00:00,339.36,0.0,243.19,500.09,771.67,326.0,592.92,1789.34,339.36,,0.0,445.66999999999996,136.7085889570552,0.0,9795.004013657297,532.6205728814607
2025-08-03 09:00:00,474.55,0.0,302.43,597.89,742.1,326.0,518.59,1756.57,474.55,,0.0,416.1,127.63803680981596,0.0,10031.704298698356,536.7599933448566
2025-08-03 10:00:00,533.42,0.0,352.58,641.82,799.51,326.0,387.78,2027.7,533.42,,0.0,473.51,145.24846625766872,0.0,10282.160911373587,527.1806289548742
2025-08-03 11:00:00,627.12,0.0,487.22,764.9,894.02,326.0,278.09,2457.98,627.12,,0.0,568.02,174.23926380368098,1.0,10450.681600982378,500.86570826251193
2025-08-03 12:00:00,689.64,0.0,444.48,931.4,1003.35,326.0,277.64,2804.01,689.64,,0.0,677.35,207.77607361963192,1.0,10570.71674526474,466.25926400603504
2025-08-03 13:00:00,767.77,0.0,474.74,1053.74,1155.15,326.0,282.72,3082.68,767.77,,0.0,829.1500000000001,254.34049079754604,1.0,10620.173398299694,433.7115367169508
2025-08-03 14:00:00,809.91,0.0,399.72,1188.76,1262.89,326.0,411.17,3312.97,809.91,,0.0,936.8900000000001,287.3895705521473,0.0,10330.048874728001,403.04845941086796
2025-08-03 15:00:00,790.27,0.0,380.74,1129.84,1072.7,326.0,525.59,2116.42,790.27,,0.0,746.7,229.04907975460125,0.0,10399.453796326286,372.72855151187866
2025-08-03 16:00:00,763.96,0.0,354.28,1038.73,977.26,326.0,485.34,2212.89,763.96,,0.0,651.26,199.77300613496934,0.0,10196.45935340248,351.8153158034045
2025-08-03 17:00:00,682.33,0.0,315.55,1040.78,892.16,326.0,468.14,2237.24,682.33,,0.0,566.16,173.6687116564417,0.0,10076.723951483817,328.09365612875075
2025-08-03 19:00:00,224.59,0.0,153.82,316.66,727.08,326.0,429.65,1324.38,224.59,,0.0,401.08000000000004,123.03067484662577,0.0,9920.631378760256,307.49901046239074
2025-08-03 20:00:00,45.53,0.0,31.16,61.72,614.9,326.0,323.91,1301.76,45.53,,0.0,288.9,88.61963190184048,1.0,9966.609272248728,299.14321711521546
2025-08-03 21:00:00,0.35,0.0,0.2,0.5,653.05,326.0,412.08,1288.4,0.35,,0.0,327.04999999999995,100.32208588957054,0.0,9955.081961551603,293.24257819626513
2025-08-03 22:00:00,0.0,0.0,0.0,0.0,697.96,326.0,435.09,1116.56,0.0,,1.0,371.96000000000004,114.09815950920246,0.0,9930.049354792112,287.6560549587129
2025-08-03 23:00:00,0.0,0.0,0.0,0.0,740.25,326.0,476.48,1073.62,0.0,,1.0,414.25,127.07055214723925,0.0,9752.375717811046,283.4402772191613
2025-08-04 00:00:00,0.0,0.0,0.0,0.0,793.3,326.0,342.57,1094.18,0.0,,1.0,467.29999999999995,143.34355828220856,0.0,9609.849727681047,296.0649117457751
2025-08-04 01:00:00,0.0,0.0,0.0,0.0,868.02,326.0,282.81,1147.69,0.0,,1.0,542.02,166.2638036809816,1.0,9471.17218798976,315.34457692626705
2025-08-04 02:00:00,0.0,0.0,0.0,0.0,905.04,326.0,370.69,1086.19,0.0,,1.0,579.04,177.61963190184048,0.0,9421.746218038326,331.26196596429077
2025-08-04 03:00:00,0.0,0.0,0.0,0.0,1024.75,326.0,393.04,1599.07,0.0,,1.0,698.75,214.340490797546,0.0,9551.223398831715,336.2177205437507
2025-08-04 04:00:00,0.0,0.0,0.0,0.0,1111.9,326.0,381.24,1729.22,0.0,,1.0,785.9000000000001,241.0736196319019,0.0,9752.414541734963,336.5358341512436
2025-08-04 05:00:00,1.18,0.0,0.42,2.24,1143.76,326.0,366.4,1758.67,1.18,,0.0,817.76,250.84662576687117,0.0,9880.169188340034,335.49247283206086
2025-08-04 06:00:00,114.93,0.0,79.17,151.0,1062.14,326.0,354.5,1686.02,114.93,,0.0,736.1400000000001,225.80981595092027,0.0,10092.464956294803,334.4820479668781
2025-08-04 07:00:00,519.21,0.0,378.73,662.52,808.97,326.0,306.21,1179.75,519.21,,0.0,482.97,148.15030674846628,1.0,10208.925834037947,330.91522586010683
2025-08-04 08:00:00,1035.65,0.0,804.63,1217.33,605.14,326.0,208.49,821.8,1035.65,,0.0,279.14,85.62576687116564,1.0,10392.816816751034,336.23477230453045
2025-08-04 09:00:00,1331.46,0.0,1196.19,1446.86,460.59,326.0,146.99,592.13,1331.46,,0.0,134.58999999999997,41.28527607361963,1.0,10469.099844177623,347.5373633737218
2025-08-04 10:00:00,1453.63,0.0,1403.61,1548.6,416.54,326.0,114.41,664.2,1453.63,,0.0,90.54000000000002,27.77300613496933,1.0,10579.40530561186,360.9723586939457
2025-08-04 11:00:00,1506.29,0.0,1440.29,1563.69,410.78,326.0,199.06,768.16,1506.29,,0.0,84.77999999999997,26.006134969325146,1.0,10631.189143444924,371.0179166065824
2025-08-04 12:00:00,1480.75,0.0,1422.25,1535.64,401.88,326.0,202.31,690.82,1480.75,,0.0,75.88,23.2760736196319,1.0,10808.080175827767,387.56714512962213
2025-08-04 13:00:00,1418.87,1607.23,1376.65,1530.11,381.72,412.49,186.37,590.19,188.36000000000013,11.719542318149868,0.0,30.769999999999982,7.45957477757036,1.0,10713.561898325333,393.5843300976155
2025-08-04 14:00:00,1322.86,1403.05,1179.04,1496.69,388.95,436.67,172.03,634.84,80.19000000000005,5.71540572324579,1.0,47.72000000000003,10.928160853733946,1.0,10596.042016575904,404.23849990455324
2025-08-04 15:00:00,1181.45,1221.59,893.5,1428.97,422.1,534.24,136.64,761.75,40.13999999999987,3.2858815150746055,1.0,112.13999999999999,20.990566037735846,1.0,10537.302019971114,409.60584125865256
2025-08-04 16:00:00,1032.46,1045.16,865.57,1325.95,403.88,802.06,111.25,878.81,12.700000000000045,1.2151249569443956,1.0,398.17999999999995,49.64466498765678,1.0,10375.474634282957,412.9253846328184
2025-08-04 17:00:00,850.07,736.57,690.84,1149.03,381.43,1433.17,121.34,699.95,113.5,15.409261848839892,1.0,1051.74,73.38557184423341,0.0,10192.38278258894,413.14271764028024
2025-08-04 19:00:00,281.9,206.53,218.43,390.47,498.34,1515.41,231.16,732.77,75.36999999999998,36.49348762891588,0.0,1017.0700000000002,67.11517015197208,0.0,9997.978527628278,412.0619654438957
